TAG,SP,QUAD,Hectar,D2015,D2017,D2019,GR1517,GR1719,MAX DBH 1517,MAX DBH 1719,IV SP 15,IV SP 17,SP Life Score 15,SP Life Score 17,LifeSpan
2643A,AAAAAA,14,H1,12.9,0,0,-6.45,0,12.9,0,0.34,0,0.08,0,6
2804A,ACROPO,21,H1,0,13.8,14,6.9,0.1,13.8,14,0.15,0.29,0.2,0.4,0
3551B,ACROPO,49,H2,17.6,18.6,0,0.5,-9.3,18.6,18.6,0.15,0.29,0.2,0.4,6
3007,ADENBI,28,H1,31.2,31.9,32.8,0.35,0.45,31.9,32.8,0.3,0.29,0.67,0.67,0
3504A,ADENBI,47,H2,32.2,33.5,33.7,0.65,0.1,33.5,33.7,0.3,0.29,0.67,0.67,0
2547A,AGLAE1,10,H2,13.3,13.3,13.6,0,0.15,13.3,13.6,0.34,0.33,1,1,0
2717A,AGLAGL,17,H2,0,10.5,10.8,5.25,0.15,10.5,10.8,0,0.16,0,1,0
2674A,AGLASP,15,H1,0,10.8,10.8,5.4,0,10.8,10.8,0,0.31,0,1,10
2871B,AGLASP,23,H1,0,11.8,10.8,5.9,-0.5,11.8,11.8,0,0.31,0,1,9
2446A,AIDICO,6,H1,0,11.8,11.9,5.9,0.05,11.8,11.9,0.15,0.59,0.25,0.75,0
3133A,AIDICO,33,H1,0,19.8,20.4,9.9,0.3,19.8,20.4,0.15,0.59,0.25,0.75,6
3547A,AIDICO,49,H2,21.3,21.5,21.9,0.1,0.2,21.5,21.9,0.15,0.59,0.25,0.75,0
2632C,AIDIWA,13,H2,23.5,24.9,28.1,0.7,1.6,24.9,28.1,0.49,0.49,1,1,0
2410A,ALANEB,4,H1,12.5,12.7,12.6,0.1,-0.05,12.7,12.7,1.67,1.49,1,1,0
2423B,ALANEB,5,H1,11,10.7,10.8,-0.15,0.05,11,10.8,1.67,1.49,1,1,0
2935A,ALANEB,25,H1,12.5,13.7,14.2,0.6,0.25,13.7,14.2,1.67,1.49,1,1,11
2949A,ALANEB,26,H1,14.1,14.7,14.7,0.3,0,14.7,14.7,1.67,1.49,1,1,0
3161C,ALANEB,34,H2,13.4,13.5,14.6,0.05,0.55,13.5,14.6,1.67,1.49,1,1,5
3416C,ALANEB,44,H2,12.3,13,13.4,0.35,0.2,13,13.4,1.67,1.49,1,1,0
3417B,ALANEB,44,H2,15.2,15.7,15.6,0.25,-0.05,15.7,15.7,1.67,1.49,1,1,6
3431B,ALANEB,44,H2,11,11.3,11.1,0.15,-0.1,11.3,11.3,1.67,1.49,1,1,0
3527A,ALANEB,48,H2,12.8,13,13,0.1,0,13,13,1.67,1.49,1,1,6
2331,ALANRI,1,H2,16.4,16.6,16.5,0.1,-0.05,16.6,16.6,1.91,1.85,0.56,0.56,7
2617,ALANRI,12,H1,23.4,23.7,24.2,0.15,0.25,23.7,24.2,1.91,1.85,0.56,0.56,0
2803,ALANRI,20,H1,18.4,18.7,19,0.15,0.15,18.7,19,1.91,1.85,0.56,0.56,0
2912,ALANRI,25,H1,14.2,11.4,11.5,-1.4,0.05,14.2,11.5,1.91,1.85,0.56,0.56,0
