TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan
2317,SHORP2,1,1,1.8,5.0,2015,0.0,Dead,0,Dead,0,Dead,11.50,0.00,0.00,0.00,0.00,"2,300.00",0.00,"1,150.00","3,450.00",0.00,0.00,0.0,0
2318,MESURA,1,1,3.3,5.0,2015,0.0,Dead,0,Dead,0,Dead,8.00,0.00,0.00,0.00,0.00,"1,600.00",0.00,800.00,"2,400.00",0.00,0.00,0.0,0
2319,CANAPA,1,1,6.0,1.8,2015,0.0,Dead,0,Dead,0,Dead,3.00,0.00,0.00,0.00,0.00,600.00,0.00,300.00,900.00,0.00,0.00,0.0,0
2320,PAYELU,1,1,7.9,4.7,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,8
2321,GIROPA,1,1,7.6,6.9,2015,11.5,Understory,1-5,Alive,44,Intermediate,2.50,308.15,0.01,0.10,0.05,500.00,5.10,250.00,755.10,0.10,0.05,16.7,6
2322,MACALO,1,1,9.5,6.8,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
2323,DACRR1,1,1,9.7,10.9,2015,19.8,Understory,6-11,Alive,51,Intermediate,22.00,"14,765.59",0.69,0.18,0.09,"4,400.00",8.77,"2,200.00","6,608.77",-0.60,-0.30,24.0,0
2323A,MACALO,1,1,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
2324,KOOMMA,1,1,10.7,11.6,2015,99.0,Emergent,>24,Alive,67,Mature,4.50,"849,914.43",39.95,0.88,0.44,900.00,43.87,450.00,"1,393.87",0.00,0.00,46.6,7
2324A,NAUCOF,1,1,10.5,11.8,2015,11.0,Understory,1-5,Alive,3,Young,2.50,269.52,0.01,0.10,0.05,500.00,4.87,250.00,754.87,11.00,5.50,16.2,0
