TAG,Species,QUAD,Hectare,XCO,YCO,D15,Size Class15,Size Class by Inch15,Status15,Age15,Age Class15,Density15,AGB15,Carbon15,Basal Area15,Dom15,RFre15,RDom15,RDen15,IV15,Height15,LifeSpan15,D17,Size Class17,Size Class by Inch17,Status17,Age17,Age Class17,Density17,AGB17,Carbon17,Basal Area17,Dom17,RFre17,RDom17,RDen17,IV17,MAXDBH1517,GR1517,Height17,LifeSpan17,D19,Size Class19,Size Class by Inch19,Status19,Age19,Age Class19,Density19,AGB19,Carbon19,Basal Area19,Dom19,RFre19,RDom19,RDen19,IV19,MAXDBH1719,GR1719,Height19,LifeSpan19,D21,Size Class21,Size Class by Inch21,Status21,Age21,Age Class21,Density21,AGB21,Carbon21,Basal Area21,Dom21,RFre21,RDom21,RDen21,IV21,MAXDBH1921,GR1921,Height21,LifeSpan21
2317,SHORP2,1,1,1.8,5,0,Dead,0,Dead,0,Dead,11.5,0,0,0,0,"2,300.00",0,"1,150.00","3,450.00",0,0,0,Dead,0,Dead,0,Dead,11.5,0,0,0,0,"2,300.00",0,"1,150.00","3,450.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,11.5,0,0,0,0,"2,300.00",0,"1,150.00","3,450.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,11.5,0,0,0,0,"2,300.00",0,"1,150.00","3,450.00",0.00,0,0,0
2318,MESURA,1,1,3.3,5,0,Dead,0,Dead,0,Dead,8,0,0,0,0,"1,600.00",0,800,"2,400.00",0,0,0,Dead,0,Dead,0,Dead,8,0,0,0,0,"1,600.00",0,800,"2,400.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,8,0,0,0,0,"1,600.00",0,800,"2,400.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,8,0,0,0,0,"1,600.00",0,800,"2,400.00",0.00,0,0,0
2319,CANAPA,1,1,6,1.8,0,Dead,0,Dead,0,Dead,3,0,0,0,0,600,0,300,900,0,0,0,Dead,0,Dead,0,Dead,3,0,0,0,0,600,0,300,900,0.00,0,0,0,0,Dead,0,Dead,0,Dead,3,0,0,0,0,600,0,300,900,0.00,0,0,0,0,Dead,0,Dead,0,Dead,3,0,0,0,0,600,0,300,900,0.00,0,0,0
2320,PAYELU,1,1,7.9,4.7,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0,8,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0.00,0,0,8,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0.00,0,0,8,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0.00,0,0,8
2321,GIROPA,1,1,7.6,6.9,11.5,Understory,1-5,Alive,44,Intermediate,2.5,308.15,0.01,0.1,0.05,500,5.1,250,755.1,16.7,6,11.6,Understory,1-5,Alive,46,Intermediate,2.5,316.33,0.01,0.1,0.05,500,5.14,250,755.14,11.60,0.05,16.8,6,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,11.60,-5.8,0,6,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,6
2322,MACALO,1,1,9.5,6.8,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0
2323,DACRR1,1,1,9.7,10.9,19.8,Understory,6-11,Alive,51,Intermediate,22,"14,765.59",0.69,0.18,0.09,"4,400.00",8.77,"2,200.00","6,608.77",24,0,20.2,Understory,6-11,Alive,53,Intermediate,22,"15,747.77",0.74,0.18,0.09,"4,400.00",8.95,"2,200.00","6,608.95",20.20,0.2,24.3,0,20,Understory,6-11,Alive,55,Intermediate,22,"15,250.96",0.72,0.18,0.09,"4,400.00",8.86,"2,200.00","6,608.86",20.20,-0.1,24.2,0,20.1,Understory,6-11,Alive,57,Intermediate,22,"15,497.92",0.73,0.18,0.09,"4,400.00",8.91,"2,200.00","6,608.91",20.10,0.05,24.2,0
2323A,MACALO,1,1,0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0
2324,KOOMMA,1,1,10.7,11.6,99,Emergent,>24,Alive,67,Mature,4.5,"849,914.43",39.95,0.88,0.44,900,43.87,450,"1,393.87",46.6,7,99,Emergent,>24,Alive,69,Mature,4.5,"849,914.43",39.95,0.88,0.44,900,43.87,450,"1,393.87",99.00,0,46.6,7,99.3,Emergent,>24,Alive,71,Mature,4.5,"859,724",40.41,0.88,0.44,900,44,450,"1,394.00",99.30,0.15,46.7,7,99.3,Emergent,>24,Alive,73,Mature,4.5,"859,723.87",40.41,0.88,0.44,900,44,450,"1,394.00",99.30,0,46.7,7
2324A,NAUCOF,1,1,10.5,11.8,11,Understory,1-5,Alive,3,Young,2.5,269.52,0.01,0.1,0.05,500,4.87,250,754.87,16.2,0,11.4,Understory,1-5,Alive,5,Young,2.5,300.13,0.01,0.1,0.05,500,5.05,250,755.05,11.40,0.2,16.6,0,12,Understory,1-5,Alive,7,Young,2.5,350.56,0.02,0.11,0.05,500,5.32,250,755.32,12.00,0.3,17.2,0,12.8,Understory,1-5,Alive,9,Young,2.5,426.79,0.02,0.11,0.06,500,5.67,250,755.67,12.80,0.4,18,0
