TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Status,Age,Age Class,SP,Frequency,rEQUENCY,No.of Individual of Species,Density,AGB,BGBC,AGBC,BGB,Carbon,Price of Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,Volume Growth,% Volume Growth,Harvest / Post-Felling,Damage,Lifespan,Species_V1,age_1
2317,SHORP2,1,1,1.8,5,2012.00,0,Dead,Dead,0,Dead,AAAAAA,12,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,Dipterocarp,0
2318,MESURA,1,1,3.3,5,2012.00,0,Dead,Dead,0,Dead,ACROPO,5,16,16,8,0,0,0,0,0,0,0,0,0.05,0,82.3,82.36,0,0,0,0,0,,0,0,NonDipterocarp,0
2319,CANAPA,1,1,6,1.8,2012.00,0,Dead,Dead,0,Dead,ACTIPO,1,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,0,NonDipterocarp,0
2320,PAYELU,1,1,7.9,4.7,2012.00,0,Dead,Dead,0,Dead,ACTIPR,1,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,8,NonDipterocarp,0
2321,GIROPA,1,1,7.6,6.9,2012.00,11.4,Understory,Alive,5,Young,ADENBI,3,5,5,2.5,300.13,70.53,141.06,150.07,0.01,0.44,0.1,0.05,0.02,5.05,25.72,30.79,1.7,0.19,16.6,69.24,0.69,,0,6,NonDipterocarp,15
2322,MACALO,1,1,9.5,6.8,2012.00,0,Dead,Dead,0,Dead,AGLAE1,1,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2323,DACRR1,1,1,9.7,10.9,2012.00,20.4,Understory,Alive,8,Young,AGLAFO,1,44,44,22,16256.2,"3,820.21","7,640.41","8,128.10",0.76,23.69,0.18,0.09,0.15,9.04,226.34,235.52,2.6,0.29,24.45,326.59,3.27,,50,0,NonDipterocarp,18
2323A,MACALO,1,1,0,0,2012.00,0,Dead,Dead,0,Dead,AGLAGL,1,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2324,KOOMMA,1,1,10.7,11.6,2012.00,99,Emergent,Alive,40,Intermediate,AGLASP,2,9,9,4.5,849914.43,"199,729.89","399,459.78","424,957.22",39.95,"1,238.33",0.88,0.44,0.03,43.87,46.3,90.19,17.9,1.99,46.63,"14,671.37",146.71,,20,7,NonDipterocarp,47
2324A,NAUCOF,1,1,10.5,11.8,2012.00,0,Dead,Dead,0,Dead,AIDICO,4,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,0,NonDipterocarp,0
