TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan,harvested
2323,DACRR1,1,1,9.7,10.9,2019,20.0,Understory,6-11,Alive,55,Intermediate,22.0,"15,250.96",0.72,0.18,0.09,"4,400.00",8.86,"2,200.00","6,608.86",-0.2,-0.1,24.2,0,1
2324,KOOMMA,1,1,10.7,11.6,2019,99.3,Emergent,>24,Alive,71,Mature,4.5,"859,724",40.41,0.88,0.44,900.00,44.0,450.00,"1,394.00",0.3,0.15,46.7,7,1
2324,KOOMMA,1,1,10.7,11.6,2019,99.3,Emergent,>24,Alive,71,Mature,4.5,"859,724",40.41,0.88,0.44,900.00,44.0,450.00,"1,394.00",0.3,0.15,46.7,7,1
2324A,NAUCOF,1,1,10.5,11.8,2019,12.0,Understory,1-5,Alive,7,Young,2.5,350.56,0.02,0.11,0.05,500.00,5.32,250.00,755.32,0.6,0.3,17.2,0,0
2325,SHORL1,1,1,3.9,10.8,2019,26.0,Understory,6-11,Alive,16,Young,9.0,"14,701.05",0.69,0.23,0.12,"1,800.00",11.52,900.00,"2,711.52",1.1,0.55,28.1,0,1
2325B,GREWMI,1,1,1.6,13.7,2019,24.8,Understory,6-11,Alive,40,Intermediate,6.0,"8,383.53",0.39,0.22,0.11,"1,200.00",10.99,600.00,"1,810.99",0.5,0.25,27.4,0,0
2330B,ARTOIS,1,1,19.5,12.2,2019,14.6,Understory,6-11,Alive,7,Young,3.5,896.51,0.04,0.13,0.06,700.00,6.47,350.00,"1,056.47",0.4,0.2,19.7,6,1
2330B,ARTOIS,1,1,19.5,12.2,2019,14.6,Understory,6-11,Alive,7,Young,3.5,896.51,0.04,0.13,0.06,700.00,6.47,350.00,"1,056.47",0.4,0.2,19.7,6,1
2330C,APORCO,1,1,19.1,12.0,2019,13.8,Understory,1-5,Alive,7,Young,0.5,107.56,0.01,0.12,0.06,100.00,6.11,50.00,156.11,0.5,0.25,19.0,0,0
2330D,SHORM1,1,1,18.2,12.8,2019,13.6,Understory,1-5,Alive,7,Young,21.0,"4,318.67",0.2,0.12,0.06,"4,200.00",6.03,"2,100.00","6,306.03",0.7,0.35,18.8,10,0
