,SP,Hectar,D2021,D2023,D2025,D2027,D2029,D2031,D2033,D2035,D2037,D2039,D2041,D2043,D2045,D2047,D2049,D2051,D2053,D2055,SP_Name
0,0,0,7.102823074237314,11.291146465667182,14.435680950996556,17.092614679758896,20.092863924640973,23.26036301538439,25.788394085420634,27.30741811167165,28.079367206871673,28.45166657233359,28.623233176665302,28.699111541785097,28.732651412405755,28.74749240686244,28.753989147245978,28.75683479217564,28.758085973205706,28.758634263134688,AAAAAA
1,1,0,20.214228753187548,23.77714882801753,26.07898276766485,27.42579428335114,28.15293998295574,28.491274879798407,28.642029355281053,28.71055690133455,28.7407950950044,28.75392340808034,28.759717626680604,28.762264981262952,28.763374704037258,28.763861256543148,28.764074874645246,28.76416823252117,28.764209100982722,28.764227021917215,ACROPO
2,1,1,3.8311666622647778,7.983514310752724,11.622253725730786,14.240546171440673,16.700557290104207,19.69764791442897,22.93814571211378,25.610588372798986,27.27358601960386,28.12910612382585,28.537688790897768,28.7231912260154,28.803764456536868,28.83860495639005,28.853677861542206,28.860130489676234,28.862893917698187,28.8640816666919,ACROPO
3,2,0,29.490198605954085,29.01823510725218,29.292041628349484,28.924743789762733,28.810855902754618,28.82717411132664,28.79582619819296,28.776621757291196,28.77588041426085,28.773303281805283,28.77059161347666,28.770164663734487,28.769957475747862,28.76962460611647,28.769525019603748,28.76950366901921,28.769466678146614,28.769449303574124,ADENBI
4,2,1,29.40007364052957,28.988194138066834,29.35697427112382,28.993844359519642,28.890256197163577,28.918589960761018,28.890973020292076,28.874149121199046,28.87465581287826,28.872919578810368,28.870649650518104,28.870399515459496,28.870337621363337,28.87008282013865,28.87001209897411,28.87001279146132,28.869989063812902,28.869976491571922,ADENBI
5,3,1,19.773350044286587,23.376719176049868,25.85051641468284,27.376164605701533,28.199810104976844,28.57724328573549,28.744609727579142,28.819199089465908,28.85112884819925,28.864721198268,28.870596825490768,28.873108446997186,28.8741772104928,28.87463583713382,28.87483208910343,28.87491577913803,28.87495159938829,28.874966927484408,AGLAE1
6,4,1,15.521849619787638,18.778801962630837,21.98278635105997,24.845248091795433,26.858478509418557,27.93995203667109,28.455704049004122,28.69566303483382,28.80100596475884,28.845970859318278,28.86543609812451,28.873789586727607,28.87733728081109,28.878856441403396,28.87950682265716,28.87978378777728,28.879902098899088,28.87995269593959,AGLAGL
7,5,0,16.3236392565909,19.79505853455434,22.973627638714923,25.534164043459214,27.192224515813226,28.046468686535135,28.44945849895521,28.637039074736716,28.72045215929782,28.756750624861933,28.772738684508745,28.7797391232981,28.78277762859733,28.784104253681257,28.784683881332818,28.78493608179018,28.785046001419637,28.785093973261752,AGLASP
8,5,0,15.783197269039002,19.18372310210102,22.34071310769159,25.069347494699976,26.935550738105707,27.920348955454894,28.38932685551617,28.610004344608623,28.708651158057013,28.751539510638278,28.770453295328895,28.778747393353,28.782344579405766,28.783914958655767,28.78460153013163,28.78490019332138,28.785030335989877,28.785087148414963,AGLASP
9,6,0,17.149814271543686,20.71711693008192,23.768141595216697,26.0816067875491,27.494294292205073,28.194903304413064,28.521811757360307,28.672605035273424,28.739008592118275,28.7678773449747,28.78058607630872,28.786131045733974,28.788535264807958,28.78958466763123,28.790042292625603,28.790241139593487,28.79032774509914,28.790365490308247,AIDICO
10,6,0,26.1184638592601,27.72013083931142,28.22182733941549,28.526979916319704,28.685497556927707,28.742991623111624,28.768877439751602,28.7813794734753,28.786470715825367,28.78864649961922,28.7896425431515,28.79006915259405,28.790251429309308,28.79033238469091,28.790367622221513,28.79038279698118,28.790389445210405,28.79039234781816,AIDICO
11,6,1,27.155653286207187,28.209087601380347,28.49745127326468,28.72829479204532,28.82853342352203,28.860801022785854,28.877473504257207,28.88501434822445,28.88781482523332,28.889070311040115,28.889633089611344,28.88985902655302,28.889955888694622,28.88999845459219,28.890016183654545,28.8900237017785,28.89002695584443,28.890028332261284,AIDICO
12,7,1,29.09491347974359,28.96744964108779,29.08856256685738,28.943840503222624,28.904576121007793,28.914783761615638,28.90329017449671,28.89675061917802,28.896954957253826,28.89620727563359,28.89531973856497,28.895227574863814,28.895197685837235,28.89509773558905,28.895071259464803,28.895071183404372,28.8950618535628,28.89505710379838,AIDIWA
13,8,0,17.95053850672541,21.568698796845815,24.464568108130486,26.532940317932646,27.736322628971745,28.316383599290198,28.58410908905192,28.706369962203876,28.75979685803322,28.7829795524179,28.79315637267192,28.797579402512763,28.799493436669394,28.800327128377567,28.800689604035583,28.80084674335916,28.800915035947963,28.800944721941406,ALANEB
