Species,Count
SARADE,73
DACRR1,42
SHORM1,39
MACALO,33
XANTEU,32
MONOMA,28
SHORM2,28
DIPTC1,26
SHORP1,24
HOPEME,24
SHORP2,23
RYPAKU,22
ARCHBU,22
PORTAN,21
IXONIC,21
XERONO,21
CALODI,20
PIMEGR,20
OCHAAM,20
CROTLA,19
SHORL1,18
SANTLA,18
DRYPLO,17
SHORAC,16
MESURA,16
EUGEC1,16
ALANRI,16
CROTAR,16
KNEMSC,15
CANTDI,14
PTYCCO,14
MESUFE,14
MANGQU,14
BUCHSE,13
LANSDO,13
GIRONE,12
NEOSKI,12
GREWMI,12
MALLPE,12
SCA1SP,11
ALPHMA,11
ANI1LA,11
PAYELU,11
DIPLMA,11
LITHCU,11
VATIBE,11
KNEMMA,10
SAR1GR,10
CYNOMA,10
MILLAT,10
DIOSBU,10
LEPISE,10
EUGEGR,10
BACCRE,10
BEILDI,10
APORBR,10
QUERAR,9
ALANEB,9
NEOBHE,9
KOOMMA,9
EUGERI,9
SANTTO,9
KNEMLA,8
MEL1FU,8
XANTGR,8
XANTRU,8
SANDKO,8
SCA2MA,8
PTEREC,8
CANALR,8
CLE1SU,8
GANUSN,8
DACRRO,8
XANTST,7
PAROVA,7
BARRPE,7
MEMEO2,7
CYATRA,7
EUGEDE,7
DURIGR,7
EUGECL,7
HOPEDR,7
ELATTA,7
MEMEMI,7
ARTOIS,7
PEN1MO,7
CALOWA,7
ALPHEL,7
BACCRA,6
POMEPA,6
XYLOM2,6
INTSPA,6
POL1HY,6
POL1SU,6
MEMEAM,6
EUGEP3,6
CANAPA,6
SHORL2,6
CALOTE,6
DIOSAP,6
KOILLO,6
LITHEW,6
CRY1GR,6
ACROPO,5
APORPR,5
APORAR,5
NEPHCO,5
GIROPA,5
EUGEFI,5
NAUCOF,5
ARTOSC,5
POL1JE,5
GREWBL,5
HORSS2,5
CASTME,5
XYLOFS,5
DIOSLA,5
KIBAAR,5
DACRLA,5
SCHOAC,4
NEPHER,4
SANTAP,4
RYPAAC,4
DACRCO,4
HORSPO,4
APORPE,4
BOUEMA,4
EUGEPU,4
APORAU,4
SHOROV,4
PALAMA,4
