,Unnamed: 0,TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan
635,1204,3098C,SHORP2,32,2,32.0,133.5,2019,28.1,Understory,6-11,Alive,7,Young,11.5,"24,325.11",1.14,0.25,0.12,"2,300.00",12.45,"1,150.00","3,462.45",3.3,1.65,29.3,0
666,1263,3133A,AIDICO,33,2,57.4,139.6,2019,20.4,Understory,6-11,Alive,4,Young,2.0,"1,477.84",0.07,0.18,0.09,400.00,9.04,200.00,609.04,0.6,0.3,24.4,0
96,177,2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0
112,217,2453A,ARDICO,6,1,86.0,39.0,2019,15.2,Understory,6-11,Alive,7,Young,1.5,435.56,0.02,0.13,0.07,300.00,6.74,150.00,456.74,0.5,0.25,20.3,16
297,595,2695,CYNOMA,16,1,89.9,75.6,2019,60.1,Emergent,>24,Alive,65,Mature,5.0,"148,765.34",6.99,0.53,0.27,"1,000.00",26.63,500.00,"1,526.63",0.9,0.45,40.5,0
698,1327,3179,MONOMA,35,2,89.7,129.4,2019,23.0,Understory,6-11,Alive,53,Intermediate,15.0,"16,365.25",0.77,0.2,0.1,"3,000.00",10.19,"1,500.00","4,510.19",0.0,0.0,26.2,11
710,1347,3188B,SHORM1,35,2,93.0,137.5,2019,16.9,Understory,6-11,Alive,7,Young,21.0,"8,507.18",0.4,0.15,0.07,"4,200.00",7.49,"2,100.00","6,307.49",0.4,0.2,21.7,10
924,1765,3470,SARADE,46,2,89.9,191.9,2019,33.6,Canopy,12-17,Alive,59,Intermediate,36.5,"141,106.19",6.63,0.3,0.15,"7,300.00",14.89,"3,650.00","10,964.89",1.1,0.55,32.0,15
881,1686,3416C,ALANEB,44,2,70.4,163.0,2019,13.4,Understory,1-5,Alive,7,Young,4.5,884.16,0.04,0.12,0.06,900.00,5.94,450.00,"1,355.94",0.4,0.2,18.6,5
108,205,2445A,MACAHY,6,1,89.3,31.0,2019,16.8,Understory,6-11,Alive,7,Young,1.0,397.58,0.02,0.15,0.07,200.00,7.44,100.00,307.44,1.3,0.65,21.7,10
287,581,2683,XANTEU,16,1,90.4,70.2,2019,14.4,Understory,6-11,Alive,52,Intermediate,16.0,"3,926.52",0.18,0.13,0.06,"3,200.00",6.38,"1,600.00","4,806.38",-0.1,-0.05,19.6,15
295,591,2691,KNEMST,16,1,87.8,78.9,2019,33.1,Canopy,12-17,Alive,56,Intermediate,1.0,"3,673.64",0.17,0.29,0.15,200.00,14.67,100.00,314.67,0.6,0.3,31.7,10
944,1792,3491,SARADE,46,2,99.6,181.2,2019,25.4,Understory,6-11,Alive,56,Intermediate,36.5,"55,187.51",2.59,0.23,0.11,"7,300.00",11.25,"3,650.00","10,961.25",0.3,0.15,27.7,15
93,174,2426,DACRR2,5,1,98.1,16.3,2019,14.9,Understory,6-11,Alive,52,Intermediate,2.0,545.75,0.03,0.13,0.07,400.00,6.6,200.00,606.60,0.0,0.0,20.0,15
939,1786,3486,SARADE,46,2,90.3,185.7,2019,22.4,Understory,6-11,Alive,53,Intermediate,36.5,"36,529.27",1.72,0.2,0.1,"7,300.00",9.93,"3,650.00","10,959.93",0.6,0.3,25.8,15
985,1861,3529A,SHORP1,48,2,43.7,194.9,2019,35.0,Canopy,12-17,Alive,40,Intermediate,12.0,"53,326.02",2.51,0.31,0.16,"2,400.00",15.51,"1,200.00","3,615.51",1.6,0.8,32.6,0
77,136,2395C,ARCHDU,4,1,67.8,16.1,2019,14.0,Understory,6-11,Alive,7,Young,0.5,112.45,0.01,0.12,0.06,100.00,6.2,50.00,156.20,0.6,0.3,19.2,0
510,960,2950,KOILLO,26,2,89.7,118.1,2019,21.6,Understory,6-11,Alive,53,Intermediate,3.0,"2,667.33",0.13,0.19,0.1,600.00,9.57,300.00,909.57,-0.3,-0.15,25.3,0
